feature,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
sensor_28,205820,834.8054466827241,315.7311036400138,4.3193470000000005,51.9369176,78.948944,773.10465,940.1863000000001,1019.2852499999999,1153.1261499999998,1260.00831,1841.146
sensor_23,205820,915.2071966006395,299.41582007006906,0.0,64.9461738,95.08356,950.940125,981.54525,1090.722,1098.35405,1110.298,1227.564
sensor_36,205820,594.5127087633588,293.5355414564783,2.26097,56.462809899999996,95.837888,264.171375,771.9181000000001,838.3124250000001,877.123445,914.674382,983.9208
sensor_31,205820,851.4005686529043,285.3661937661004,23.95833,76.04166,138.5417,830.7291,911.4583,974.9999,1085.417,1800.0,1800.0
sensor_32,205768,794.855086037072,261.5959899380737,0.2407161,91.755291,131.014785,746.356725,876.6474000000001,944.5301750000001,1013.16265,1208.683739999999,1839.211
sensor_26,205816,781.4390685861227,253.1867634845105,43.154790000000006,79.72269,108.1995,794.045825,854.1813999999999,905.8087,980.877725,991.5168050000001,1214.42
sensor_21,205820,791.1488669647609,233.15173543082196,95.52766,125.100466,135.33919,875.54705,879.7066,882.1957,890.8631300000001,901.662247,1107.526
sensor_29,205764,573.0075959982646,230.32291184828756,0.6365742,2.54629683494568,57.203874000000006,520.6567,565.69955,739.763775,811.3491,1033.9835099999998,1466.281
sensor_25,205800,644.5656881101467,227.02541734047773,0.0,0.0,0.0,694.582675,740.24325,750.078025,761.3403249999999,781.8422,839.575
sensor_19,205820,586.1694598980264,205.05904261336931,0.0,0.0,0.0,662.8460749999999,665.68865,667.1698,672.73466,678.492481,878.9179
sensor_30,205575,608.6533719501549,200.36201899246558,0.0,72.22222,108.3333,625.4630000000001,666.6666,696.2963,772.6852,931.1388540000044,1600.0
sensor_24,205820,551.4575563949589,186.9128569342206,0.0,0.0,0.0,600.5859,625.70655,628.5703249999999,631.810305,659.432911,1000.0
