sensor_a,sensor_b,pearson_corr,spearman_corr,abs_pearson_corr,abs_spearman_corr,same_direction_flag,state_scope
sensor_19,sensor_20,0.9982491880477621,0.7147891049384656,0.9982491880477621,0.7147891049384656,True,normal
sensor_20,sensor_21,0.9970718545669011,0.6611909519172396,0.9970718545669011,0.6611909519172396,True,normal
sensor_19,sensor_21,0.9959841169353738,0.6833295121413958,0.9959841169353738,0.6833295121413958,True,normal
sensor_14,sensor_16,0.9903170552354904,0.5840844892702035,0.9903170552354904,0.5840844892702035,True,normal
sensor_19,sensor_22,0.9892314013932537,0.6586217245903963,0.9892314013932537,0.6586217245903963,True,normal
sensor_19,sensor_24,0.9877874763837489,0.4598195304764054,0.9877874763837489,0.4598195304764054,True,normal
sensor_20,sensor_22,0.987463391037052,0.618626905376809,0.987463391037052,0.618626905376809,True,normal
sensor_21,sensor_24,0.9871498163877277,0.44898522334631585,0.9871498163877277,0.44898522334631585,True,normal
sensor_22,sensor_23,0.9870683510987802,0.8472713350047513,0.9870683510987802,0.8472713350047513,True,normal
sensor_20,sensor_24,0.9861461095959116,0.445163711414958,0.9861461095959116,0.445163711414958,True,normal
sensor_19,sensor_25,0.9859674037224335,0.4563096408599313,0.9859674037224335,0.4563096408599313,True,normal
sensor_20,sensor_25,0.9852828243365962,0.4503890860128338,0.9852828243365962,0.4503890860128338,True,normal
sensor_21,sensor_22,0.9851539540350539,0.6059054595831612,0.9851539540350539,0.6059054595831612,True,normal
sensor_17,sensor_18,0.9835531348637979,0.9924656539719073,0.9835531348637979,0.9924656539719073,True,normal
sensor_21,sensor_25,0.9833610986014855,0.4225338615080874,0.9833610986014855,0.4225338615080874,True,normal
sensor_14,sensor_19,0.9831109374030983,0.5210277443038739,0.9831109374030983,0.5210277443038739,True,normal
sensor_22,sensor_25,0.9826488353834197,0.5133753931288497,0.9826488353834197,0.5133753931288497,True,normal
sensor_20,sensor_23,0.9801197396011931,0.5958775730959539,0.9801197396011931,0.5958775730959539,True,normal
sensor_14,sensor_20,0.9800326934799859,0.5195944615827585,0.9800326934799859,0.5195944615827585,True,normal
sensor_19,sensor_23,0.9797852121754614,0.6166386311961303,0.9797852121754614,0.6166386311961303,True,normal
sensor_16,sensor_19,0.9796446056315232,0.6225329325470784,0.9796446056315232,0.6225329325470784,True,normal
sensor_22,sensor_24,0.979593129280645,0.5842522286404246,0.979593129280645,0.5842522286404246,True,normal
sensor_21,sensor_23,0.9795259747665015,0.5799653382116674,0.9795259747665015,0.5799653382116674,True,normal
sensor_16,sensor_20,0.9769504541223176,0.5535455985359056,0.9769504541223176,0.5535455985359056,True,normal
sensor_24,sensor_25,0.9737462211900111,0.4745333545126261,0.9737462211900111,0.4745333545126261,True,normal
sensor_16,sensor_21,0.9735992178030117,0.5746997985616229,0.9735992178030117,0.5746997985616229,True,normal
sensor_14,sensor_25,0.9731159080286799,0.4821350364304203,0.9731159080286799,0.4821350364304203,True,normal
sensor_14,sensor_22,0.9730991122000264,0.5098333079079126,0.9730991122000264,0.5098333079079126,True,normal
sensor_14,sensor_21,0.9717565902503474,0.48440052335961026,0.9717565902503474,0.48440052335961026,True,normal
sensor_25,sensor_26,0.97077865130133,0.6432689400526475,0.97077865130133,0.6432689400526475,True,normal
sensor_23,sensor_24,0.9705927722555165,0.5276311082164193,0.9705927722555165,0.5276311082164193,True,normal
sensor_23,sensor_25,0.97054998738152,0.4195432069281083,0.97054998738152,0.4195432069281083,True,normal
sensor_16,sensor_25,0.9692596554909669,0.4778258313510988,0.9692596554909669,0.4778258313510988,True,normal
sensor_16,sensor_22,0.9688972505003567,0.5297603265265899,0.9688972505003567,0.5297603265265899,True,normal
sensor_16,sensor_24,0.9681737446700833,0.45644734955227206,0.9681737446700833,0.45644734955227206,True,normal
sensor_14,sensor_24,0.9670406527569277,0.43995434047968346,0.9670406527569277,0.43995434047968346,True,normal
sensor_14,sensor_23,0.9624608353045083,0.4638831748978087,0.9624608353045083,0.4638831748978087,True,normal
sensor_16,sensor_23,0.9597354771957329,0.5081932322996,0.9597354771957329,0.5081932322996,True,normal
sensor_22,sensor_26,0.9563934210430596,0.5671404006536321,0.9563934210430596,0.5671404006536321,True,normal
sensor_21,sensor_26,0.9563166464638042,0.4439583945382073,0.9563166464638042,0.4439583945382073,True,normal
sensor_23,sensor_26,0.9554406744635896,0.6069231857696346,0.9554406744635896,0.6069231857696346,True,normal
sensor_20,sensor_26,0.9538152585789795,0.416897205682917,0.9538152585789795,0.416897205682917,True,normal
sensor_16,sensor_17,0.9522461349671947,0.5103688289497622,0.9522461349671947,0.5103688289497622,True,normal
sensor_19,sensor_26,0.9520669861300545,0.42569007199505493,0.9520669861300545,0.42569007199505493,True,normal
sensor_24,sensor_26,0.9440092816420236,0.5480199247017418,0.9440092816420236,0.5480199247017418,True,normal
sensor_16,sensor_26,0.9318221200363951,0.46565129601186506,0.9318221200363951,0.46565129601186506,True,normal
sensor_17,sensor_19,0.9306043125922449,0.49382433540896975,0.9306043125922449,0.49382433540896975,True,normal
sensor_14,sensor_17,0.9299423624086233,0.4640400109233525,0.9299423624086233,0.4640400109233525,True,normal
sensor_14,sensor_26,0.9297467089111646,0.4385245318726185,0.9297467089111646,0.4385245318726185,True,normal
sensor_17,sensor_21,0.9280887414128369,0.4649531050513859,0.9280887414128369,0.4649531050513859,True,normal
sensor_17,sensor_24,0.9280658852111952,0.40111118199233303,0.9280658852111952,0.40111118199233303,True,normal
sensor_16,sensor_18,0.9259081342739525,0.5124400514113364,0.9259081342739525,0.5124400514113364,True,normal
sensor_17,sensor_20,0.9256488985995118,0.515108212186729,0.9256488985995118,0.515108212186729,True,normal
sensor_17,sensor_22,0.9205586738232462,0.4461664988484086,0.9205586738232462,0.4461664988484086,True,normal
sensor_17,sensor_25,0.9176076279324219,0.4374914332309731,0.9176076279324219,0.4374914332309731,True,normal
sensor_00,sensor_04,0.9152397230074711,0.3159898143774425,0.9152397230074711,0.3159898143774425,True,normal
sensor_18,sensor_21,0.9121637912948414,0.46615925888059956,0.9121637912948414,0.46615925888059956,True,normal
sensor_18,sensor_19,0.9079556852906275,0.4954629027082114,0.9079556852906275,0.4954629027082114,True,normal
sensor_18,sensor_24,0.9067450739982669,0.4017222125901209,0.9067450739982669,0.4017222125901209,True,normal
sensor_18,sensor_20,0.906704308943808,0.5287395364342091,0.906704308943808,0.5287395364342091,True,normal
sensor_17,sensor_23,0.9063325297992995,0.40474975662593116,0.9063325297992995,0.40474975662593116,True,normal
sensor_14,sensor_18,0.9013831741371441,0.4717589978594259,0.9013831741371441,0.4717589978594259,True,normal
sensor_18,sensor_22,0.8976018594131858,0.4458884580271008,0.8976018594131858,0.4458884580271008,True,normal
sensor_18,sensor_25,0.8971926448991325,0.4363428267632812,0.8971926448991325,0.4363428267632812,True,normal
sensor_17,sensor_26,0.8888070454149527,0.4265455733233215,0.8888070454149527,0.4265455733233215,True,normal
sensor_18,sensor_23,0.8865273515233462,0.4067676661723214,0.8865273515233462,0.4067676661723214,True,normal
sensor_18,sensor_26,0.8792951410096794,0.426358082756257,0.8792951410096794,0.426358082756257,True,normal
sensor_26,sensor_32,0.8770812523024356,0.7034057206037831,0.8770812523024356,0.7034057206037831,True,normal
sensor_21,sensor_33,0.8734558334584666,0.21800307977435948,0.8734558334584666,0.21800307977435948,True,normal
sensor_24,sensor_33,0.8708591381573912,0.3277098785335589,0.8708591381573912,0.3277098785335589,True,normal
sensor_32,sensor_33,0.8690306336613853,0.5100260294528076,0.8690306336613853,0.5100260294528076,True,normal
sensor_19,sensor_33,0.8685169914991292,0.19856272985721662,0.8685169914991292,0.19856272985721662,True,normal
sensor_17,sensor_33,0.8672627424454381,0.2377443244877865,0.8672627424454381,0.2377443244877865,True,normal
sensor_20,sensor_33,0.8654560865601642,0.20132916020053018,0.8654560865601642,0.20132916020053018,True,normal
sensor_31,sensor_32,0.8635040414275422,0.6478187661035605,0.8635040414275422,0.6478187661035605,True,normal
sensor_16,sensor_33,0.8600662052296146,0.21929806951632894,0.8600662052296146,0.21929806951632894,True,normal
sensor_31,sensor_33,0.8569315781968496,0.6265581435173269,0.8569315781968496,0.6265581435173269,True,normal
sensor_25,sensor_33,0.8565503977587501,0.05199112547719151,0.8565503977587501,0.05199112547719151,True,normal
sensor_18,sensor_33,0.8553238448180022,0.23737015722485405,0.8553238448180022,0.23737015722485405,True,normal
sensor_23,sensor_30,0.8532634607698887,0.6218572947956763,0.8532634607698887,0.6218572947956763,True,normal
sensor_21,sensor_30,0.851904205672831,0.3247262361993397,0.851904205672831,0.3247262361993397,True,normal
sensor_21,sensor_32,0.8497018296399081,0.3427535110861234,0.8497018296399081,0.3427535110861234,True,normal
sensor_25,sensor_32,0.8493954293754558,0.3833570367939039,0.8493954293754558,0.3833570367939039,True,normal
sensor_23,sensor_32,0.8468780883611624,0.5875984146916126,0.8468780883611624,0.5875984146916126,True,normal
sensor_24,sensor_32,0.8468164130440938,0.5586683229392263,0.8468164130440938,0.5586683229392263,True,normal
sensor_23,sensor_33,0.8440467778917926,0.16446255976896268,0.8440467778917926,0.16446255976896268,True,normal
sensor_22,sensor_33,0.8437393397322042,0.09633863921723931,0.8437393397322042,0.09633863921723931,True,normal
sensor_14,sensor_33,0.8426072680793021,0.22214960636882342,0.8426072680793021,0.22214960636882342,True,normal
sensor_26,sensor_30,0.8414850795875147,0.45914314160172165,0.8414850795875147,0.45914314160172165,True,normal
sensor_22,sensor_32,0.8410418017327028,0.5198326610707001,0.8410418017327028,0.5198326610707001,True,normal
sensor_24,sensor_30,0.8408238286677182,0.4790957415562243,0.8408238286677182,0.4790957415562243,True,normal
sensor_20,sensor_30,0.8384330580689213,0.3016609066837595,0.8384330580689213,0.3016609066837595,True,normal
sensor_19,sensor_32,0.837822960670019,0.3220008922756522,0.837822960670019,0.3220008922756522,True,normal
sensor_20,sensor_32,0.8377640729802083,0.32218220418,0.8377640729802083,0.32218220418,True,normal
sensor_26,sensor_33,0.8370429829231617,0.31368812928323786,0.8370429829231617,0.31368812928323786,True,normal
sensor_19,sensor_30,0.8361324025419835,0.2982255313651475,0.8361324025419835,0.2982255313651475,True,normal
